ID_cliente,Contrato,Facturacion_electronica,Metodo_pago,Cargos_mensuales,Cargos_totales,Abandono
8999-BOHSE,Mes a mes,No,Transferencia bancaria (automática),89.7,1047.7,Sí
7241-AJHFS,Mes a mes,No,Transferencia bancaria (automática),87.65,2766.4,No
7029-RPUAV,Mes a mes,Sí,Tarjeta de crédito (automática),100.45,1622.45,Sí
4546-FOKWR,Mes a mes,Sí,Tarjeta de crédito (automática),74.75,1129.35,No
9036-CSKBW,Un año,No,Transferencia bancaria (automática),107.45,5680.9,No
5832-TRLPB,Un año,Sí,Transferencia bancaria (automática),75.35,2243.9,No
8590-YFFQO,Dos años,No,Tarjeta de crédito (automática),64.95,4523.25,No
8659-IOOPU,Dos años,No,Cheque electrónico,100.45,7159.7,No
1338-CECEE,Un año,No,Transferencia bancaria (automática),68.5,2839.95,No
7439-DKZTW,Mes a mes,Sí,Cheque electrónico,80.55,80.55,No
4646-QZXTF,Mes a mes,No,Transferencia bancaria (automática),81.25,580.1,No
4607-CHPCA,Un año,Sí,Cheque electrónico,90.4,2178.6,Sí
9742-XOKTS,Un año,No,Cheque electrónico,89.55,6038.55,No
6921-OZMFH,Mes a mes,Sí,Cheque por correo,55.7,259.4,No
9578-FOMUK,Mes a mes,Sí,Cheque electrónico,24.8,324.15,No
4712-UYOOI,Mes a mes,No,Cheque electrónico,20.0,417.65,No
8824-RWFXJ,Mes a mes,Sí,Cheque por correo,56.15,168.15,Sí
7722-CVFXN,Un año,Sí,Cheque electrónico,105.2,5637.85,No
8717-VCTXJ,Un año,Sí,Cheque por correo,19.55,839.4,No
7363-QTBIW,Mes a mes,Sí,Cheque electrónico,79.75,769.1,No
6818-WOBHJ,Mes a mes,Sí,Transferencia bancaria (automática),89.6,6127.6,Sí
4159-NAAIX,Dos años,No,Transferencia bancaria (automática),97.45,6253.0,No
0971-QIFJK,Dos años,No,Transferencia bancaria (automática),24.25,1641.8,No
9397-TZSHA,Dos años,No,Tarjeta de crédito (automática),24.6,1678.05,No
3391-JSQEW,Mes a mes,Sí,Cheque por correo,50.15,2058.5,No
0343-QLUZP,Dos años,No,Transferencia bancaria (automática),39.6,2424.5,No
9763-PDTKK,Mes a mes,Sí,Transferencia bancaria (automática),94.4,387.2,Sí
2176-LVPNX,Dos años,No,Cheque por correo,89.85,6293.45,No
7627-JKIAZ,Mes a mes,Sí,Tarjeta de crédito (automática),78.95,2839.65,Sí
3312-UUMZW,Mes a mes,Sí,Tarjeta de crédito (automática),98.85,3145.9,No
1271-UODNO,Dos años,Sí,Tarjeta de crédito (automática),53.85,2200.7,No
8461-EFQYM,Un año,Sí,Cheque electrónico,24.25,914.4,No
1755-FZQEC,Un año,No,Cheque por correo,19.9,791.15,No
6900-RBKER,Dos años,Sí,Tarjeta de crédito (automática),89.45,4577.75,No
6891-JPYFF,Mes a mes,Sí,Tarjeta de crédito (automática),105.25,4997.5,No
1459-QNFQT,Dos años,No,Transferencia bancaria (automática),59.5,4144.8,No
1047-NNCBF,Mes a mes,No,Tarjeta de crédito (automática),70.55,1493.55,No
3696-XRIEN,Un año,Sí,Tarjeta de crédito (automática),82.5,4179.1,No
4081-DYXAV,Un año,Sí,Tarjeta de crédito (automática),44.85,893.55,Sí
0074-HDKDG,Un año,Sí,Transferencia bancaria (automática),61.6,1611.0,No
8791-GFXLZ,Mes a mes,Sí,Transferencia bancaria (automática),49.05,593.05,No
8111-SLLHI,Mes a mes,Sí,Cheque electrónico,105.65,4284.8,Sí
0927-LCSMG,Mes a mes,No,Cheque por correo,74.65,544.55,Sí
9330-DHBFL,Un año,Sí,Cheque por correo,66.25,1533.8,No
0098-BOWSO,Mes a mes,Sí,Cheque electrónico,19.4,529.8,No
3452-ABWRL,Mes a mes,Sí,Tarjeta de crédito (automática),86.05,3865.6,No
5859-HZYLF,Dos años,Sí,Tarjeta de crédito (automática),19.15,515.75,No
8257-RZAHR,Mes a mes,Sí,Transferencia bancaria (automática),64.7,941.0,Sí
5293-WXJAK,Mes a mes,Sí,Transferencia bancaria (automática),104.05,1133.65,Sí
3156-QLHBO,Mes a mes,No,Cheque por correo,19.25,48.35,No
2208-NQBCT,Mes a mes,No,Cheque electrónico,81.95,2070.05,No
1779-PWPMG,Dos años,Sí,Transferencia bancaria (automática),114.65,8333.95,No
6621-NRZAK,Dos años,No,Tarjeta de crédito (automática),20.0,1209.25,No
0831-JNISG,Dos años,No,Cheque por correo,19.8,1396.25,No
0774-IFUVM,Mes a mes,Sí,Transferencia bancaria (automática),65.15,723.35,No
3082-WQRVY,Un año,No,Cheque por correo,19.65,228.65,No
9553-DLCLU,Dos años,No,Tarjeta de crédito (automática),88.95,1161.75,No
1641-BYBTK,Mes a mes,Sí,Cheque por correo,20.2,98.35,No
2460-NGXBJ,Mes a mes,Sí,Tarjeta de crédito (automática),75.2,775.3,No
2446-ZKVAF,Mes a mes,No,Tarjeta de crédito (automática),56.8,1074.65,No
0841-NULXI,Mes a mes,Sí,Cheque electrónico,35.55,35.55,Sí
3522-CDKHF,Mes a mes,Sí,Transferencia bancaria (automática),75.5,2324.7,No
1430-SFQSA,Un año,No,Cheque por correo,35.6,1072.6,No
0411-EZJZE,Mes a mes,Sí,Cheque electrónico,60.25,170.5,No
7851-WZEKY,Mes a mes,Sí,Cheque electrónico,95.15,196.9,Sí
6133-OZILE,Mes a mes,Sí,Cheque electrónico,35.2,607.3,No
8844-TONUD,Mes a mes,Sí,Cheque por correo,96.65,1162.85,Sí
8807-ARQET,Mes a mes,Sí,Cheque electrónico,40.35,1677.85,No
8992-CEUEN,Mes a mes,No,Cheque electrónico,18.85,18.85,No
4320-QMLLA,Mes a mes,No,Cheque por correo,54.85,370.4,No
8777-PVYGU,Un año,Sí,Cheque por correo,64.3,3410.6,No
8292-ITGYJ,Dos años,Sí,Transferencia bancaria (automática),24.65,1138.8,No
6870-ZWMNX,Dos años,No,Tarjeta de crédito (automática),76.1,5264.25,No
0621-CXBKL,Dos años,No,Cheque por correo,18.7,1005.7,No
5268-DSMNQ,Un año,Sí,Tarjeta de crédito (automática),97.95,5936.55,No
5334-JLAXU,Mes a mes,Sí,Tarjeta de crédito (automática),94.1,5475.9,No
4086-YQSNZ,Mes a mes,Sí,Cheque electrónico,80.4,224.05,Sí
6242-MBHPK,Mes a mes,Sí,Cheque electrónico,95.1,2326.05,No
5868-CZJDR,Mes a mes,Sí,Cheque por correo,31.35,31.35,Sí
9359-UGBTK,Un año,Sí,Transferencia bancaria (automática),72.35,4991.5,No
0135-NMXAP,Mes a mes,Sí,Transferencia bancaria (automática),89.75,1052.4,Sí
4782-OSFXZ,Dos años,Sí,Transferencia bancaria (automática),82.7,5831.2,No
6479-OAUSD,Un año,No,Tarjeta de crédito (automática),19.9,510.8,No
7129-ACFOG,Mes a mes,Sí,Cheque electrónico,53.8,283.95,No
4189-NAKJS,Un año,Sí,Tarjeta de crédito (automática),51.55,1295.4,No
5562-BETPV,Un año,No,Cheque por correo,19.65,19.65,No
1282-IHQAC,Un año,Sí,Tarjeta de crédito (automática),44.05,3011.65,No
9127-FHJBZ,Dos años,Sí,Cheque electrónico,114.0,8093.15,No
6270-OMFIW,Un año,Sí,Cheque electrónico,94.4,5610.25,Sí
1641-RQDAY,Mes a mes,Sí,Cheque electrónico,100.4,3217.65,No
0107-WESLM,Mes a mes,Sí,Cheque electrónico,19.85,19.85,Sí
6994-ORCWG,Un año,Sí,Cheque por correo,54.25,773.2,No
1346-UFHAX,Mes a mes,Sí,Tarjeta de crédito (automática),80.0,1029.35,No
1839-FBNFR,Dos años,Sí,Transferencia bancaria (automática),19.85,854.8,No
3992-YWPKO,Mes a mes,Sí,Tarjeta de crédito (automática),109.9,669.45,Sí
2933-XEUJM,Dos años,No,Cheque por correo,79.2,3593.8,No
0125-LZQXK,Mes a mes,Sí,Cheque electrónico,101.35,1553.95,Sí
5461-QKNTN,Mes a mes,Sí,Cheque electrónico,94.3,3953.15,No
4835-YSJMR,Dos años,Sí,Transferencia bancaria (automática),49.8,1971.15,No
8399-YNDCH,Mes a mes,Sí,Transferencia bancaria (automática),60.05,1236.15,Sí
3164-YAXFY,Mes a mes,Sí,Cheque electrónico,53.75,3196.0,No
9036-CSKBW,Un año,No,Transferencia bancaria (automática),107.45,5680.9,No
0887-WBJVH,Un año,Sí,Cheque electrónico,93.45,4872.2,No
4660-IRIBM,Mes a mes,Sí,Cheque por correo,87.9,1500.5,No
5673-FSSMF,Mes a mes,Sí,Cheque electrónico,60.15,60.15,Sí
7670-ZBPOQ,Un año,Sí,Transferencia bancaria (automática),61.05,3478.75,No
8089-UZWLX,Dos años,No,Transferencia bancaria (automática),104.05,7413.55,No
0080-OROZO,Un año,Sí,Cheque electrónico,99.25,3532.0,No
3916-NRPAP,Mes a mes,No,Tarjeta de crédito (automática),85.7,256.75,No
6807-SIWJI,Un año,Sí,Cheque electrónico,104.85,3887.25,No
8221-HVAYI,Dos años,Sí,Tarjeta de crédito (automática),69.15,2490.15,No
1579-KLYDT,Mes a mes,Sí,Cheque electrónico,90.45,593.45,Sí
5232-NXPAY,Dos años,No,Cheque por correo,74.45,3510.3,No
8967-SZQAS,Mes a mes,No,Cheque electrónico,50.45,765.45,No
4468-KAZHE,Mes a mes,Sí,Cheque electrónico,60.0,1259.35,No
0455-ENTCR,Dos años,No,Cheque electrónico,85.25,5538.35,No
8944-AILEF,Mes a mes,Sí,Tarjeta de crédito (automática),19.45,340.85,No
5542-NKVRU,Dos años,Sí,Transferencia bancaria (automática),20.75,844.45,No
7126-RBHSD,Mes a mes,No,Cheque electrónico,78.9,1348.95,No
5370-IIVVL,Un año,Sí,Tarjeta de crédito (automática),104.5,3778.0,No
6789-HJBWG,Mes a mes,Sí,Cheque electrónico,49.4,611.65,No
3927-NLNRY,Un año,Sí,Transferencia bancaria (automática),94.25,4867.95,Sí
9087-EYCPR,Dos años,No,Cheque por correo,25.0,1505.05,No
6791-YBNAK,Mes a mes,No,Tarjeta de crédito (automática),25.55,467.85,No
6358-LYNGM,Mes a mes,Sí,Cheque electrónico,74.9,74.9,Sí
6077-BDPXA,Mes a mes,Sí,Cheque electrónico,70.15,194.2,No
0013-MHZWF,Mes a mes,Sí,Tarjeta de crédito (automática),69.4,571.45,No
5494-HECPR,Mes a mes,Sí,Cheque electrónico,80.25,80.25,Sí
8268-YDIXR,Un año,Sí,Cheque electrónico,93.15,5253.95,No
9824-BEMCV,Mes a mes,Sí,Cheque electrónico,69.0,1149.65,Sí
1373-ORVIZ,Mes a mes,Sí,Cheque electrónico,66.35,740.8,Sí
4291-SHSBH,Mes a mes,Sí,Cheque electrónico,69.55,521.35,No
6980-IMXXE,Dos años,No,Transferencia bancaria (automática),20.2,1412.65,No
9866-QEVEE,Mes a mes,Sí,Transferencia bancaria (automática),86.0,1532.45,Sí
9897-KXHCM,Mes a mes,Sí,Cheque electrónico,80.3,250.05,Sí
0040-HALCW,Dos años,No,Tarjeta de crédito (automática),20.4,1090.6,No
0784-GTUUK,Un año,Sí,Tarjeta de crédito (automática),23.75,1446.8,No
7979-CORPM,Mes a mes,Sí,Tarjeta de crédito (automática),90.55,2282.55,Sí
2294-DMMUS,Mes a mes,Sí,Tarjeta de crédito (automática),70.45,4300.45,No
0872-JCPIB,Mes a mes,No,Transferencia bancaria (automática),65.75,1111.2,No
3055-MJDSB,Mes a mes,Sí,Cheque por correo,24.6,190.1,No
9091-WTUUY,Dos años,No,Cheque por correo,69.25,4447.75,No
1618-CFHME,Mes a mes,Sí,Cheque electrónico,75.9,143.35,Sí
3165-HDOEW,Mes a mes,Sí,Cheque por correo,45.85,45.85,Sí
6581-NQCBA,Mes a mes,Sí,Cheque electrónico,49.95,810.2,Sí
7115-IRDHS,Dos años,No,Transferencia bancaria (automática),24.65,1830.05,No
8496-DMZUK,Un año,No,Transferencia bancaria (automática),90.4,2820.65,No
2040-VZIKE,Mes a mes,Sí,Cheque por correo,100.85,4847.35,No
9068-VPWQQ,Dos años,No,Tarjeta de crédito (automática),75.35,4729.3,No
0178-SZBHO,Mes a mes,No,Cheque electrónico,87.2,4017.45,No
0384-RVBPI,Mes a mes,No,Tarjeta de crédito (automática),64.4,1398.6,No
1689-MRZQR,Mes a mes,No,Cheque electrónico,78.3,2564.3,Sí
1299-AURJA,Dos años,No,Transferencia bancaria (automática),24.7,1685.9,No
4525-VZCZG,Un año,Sí,Cheque electrónico,105.85,5826.65,No
1543-LLLFT,Un año,Sí,Cheque por correo,98.3,6066.55,No
5835-BEQEU,Mes a mes,Sí,Cheque electrónico,76.95,228.4,Sí
2788-CJQAQ,Un año,No,Cheque por correo,19.45,270.2,No
5565-FILXA,Mes a mes,Sí,Cheque electrónico,96.15,1529.2,Sí
0319-QZTCO,Mes a mes,Sí,Tarjeta de crédito (automática),58.7,168.6,No
5453-YBTWV,Dos años,Sí,Tarjeta de crédito (automática),101.1,6994.8,No
2120-SMPEX,Mes a mes,Sí,Cheque por correo,20.15,536.35,No
0096-FCPUF,Mes a mes,Sí,Cheque por correo,64.5,1888.45,No
0668-OGMHD,Mes a mes,No,Cheque electrónico,28.5,629.35,No
5552-ZNFSJ,Mes a mes,No,Cheque electrónico,45.3,45.3,Sí
2223-KAGMX,Mes a mes,No,Transferencia bancaria (automática),19.4,289.3,Sí
6507-ZJSUR,Mes a mes,Sí,Cheque electrónico,90.45,2117.25,No
9408-HRXRK,Mes a mes,Sí,Cheque electrónico,105.15,4730.9,No
5593-SUAOO,Un año,No,Transferencia bancaria (automática),83.15,2033.05,No
7321-PKUYW,Mes a mes,No,Cheque electrónico,90.15,987.95,Sí
2833-SLKDQ,Mes a mes,No,Cheque por correo,45.05,45.05,Sí
6766-HFKLA,Dos años,No,Transferencia bancaria (automática),103.2,5744.35,No
7595-EUIVN,Mes a mes,No,Cheque electrónico,75.8,75.8,Sí
7617-EYGLW,Mes a mes,No,Cheque electrónico,19.45,19.45,No
2026-TGDHM,Mes a mes,Sí,Cheque electrónico,79.3,523.15,Sí
9220-ZNKJI,Dos años,No,Tarjeta de crédito (automática),88.8,4805.3,No
4030-VPZBD,Mes a mes,Sí,Cheque electrónico,30.9,59.05,Sí
2226-ICFDO,Dos años,Sí,Tarjeta de crédito (automática),85.9,6110.75,No
0723-VSOBE,Un año,No,Cheque electrónico,34.2,1596.6,No
5529-GIBVH,Dos años,No,Cheque por correo,20.15,1046.2,No
4187-CINZD,Un año,No,Tarjeta de crédito (automática),95.25,4424.2,Sí
9992-UJOEL,Mes a mes,Sí,Cheque por correo,50.3,92.75,No
4741-WWJQZ,Mes a mes,Sí,Cheque electrónico,80.15,194.55,No
6625-UTXEW,Mes a mes,Sí,Cheque electrónico,51.25,612.1,No
6818-WOBHJ,Mes a mes,Sí,Transferencia bancaria (automática),89.6,6127.6,Sí
6244-BESBM,Dos años,Sí,Tarjeta de crédito (automática),95.2,6671.7,No
1004-NOZNR,Un año,No,Tarjeta de crédito (automática),94.8,5264.3,No
1251-STYSZ,Mes a mes,Sí,Cheque electrónico,80.25,303.7,No
2612-PHGOX,Dos años,Sí,Transferencia bancaria (automática),76.1,4818.8,No
2408-TZMJL,Un año,Sí,Cheque electrónico,110.15,6448.05,Sí
8480-PPONV,Dos años,No,Transferencia bancaria (automática),115.55,7159.05,No
8780-IHCRN,Dos años,No,Tarjeta de crédito (automática),24.65,1574.5,No
4598-ZADCK,Un año,Sí,Cheque electrónico,53.6,2879.2,No
1257-SXUXQ,Mes a mes,No,Cheque por correo,19.45,86.05,No
4361-FEBGN,Dos años,No,Tarjeta de crédito (automática),20.15,982.95,No
9681-KYGYB,Mes a mes,Sí,Cheque electrónico,88.2,4159.45,No
7182-OVLBJ,Dos años,Sí,Transferencia bancaria (automática),101.15,6638.35,No
5095-ETBRJ,Dos años,No,Cheque por correo,56.8,3112.05,No
7005-CYUIL,Dos años,Sí,Cheque electrónico,99.4,7168.25,No
4821-WQOYN,Dos años,Sí,Tarjeta de crédito (automática),20.1,1326.25,No
4730-AWNAU,Un año,No,Tarjeta de crédito (automática),60.7,2234.55,No
3452-FLHYD,Un año,Sí,Transferencia bancaria (automática),20.95,495.15,No
2388-LAESQ,Dos años,Sí,Transferencia bancaria (automática),114.85,8317.95,No
9531-NSBMR,Un año,Sí,Transferencia bancaria (automática),19.25,679.8,No
6260-ONULR,Mes a mes,Sí,Cheque por correo,62.8,62.8,No
4389-UEFCZ,Dos años,Sí,Cheque electrónico,105.5,7544.0,No
8711-LOBKY,Dos años,No,Cheque por correo,19.85,1188.25,No
9134-CEQMF,Mes a mes,Sí,Cheque electrónico,89.5,676.7,Sí
8985-OOPOS,Un año,No,Tarjeta de crédito (automática),74.1,74.1,No
8800-ZKRFW,Mes a mes,Sí,Cheque electrónico,107.5,3242.5,No
2616-FLVQC,Dos años,No,Cheque por correo,19.55,1240.15,No
9968-FFVVH,Un año,No,Transferencia bancaria (automática),68.8,4111.35,No
3108-PCCGG,Dos años,No,Tarjeta de crédito (automática),84.45,5899.85,No
7993-PYKOF,Mes a mes,No,Cheque electrónico,75.0,632.95,Sí
8390-FESFV,Dos años,No,Transferencia bancaria (automática),84.5,5193.2,No
3022-BEXHZ,Dos años,Sí,Transferencia bancaria (automática),111.2,7530.8,No
5027-XWQHA,Mes a mes,No,Cheque electrónico,44.75,270.95,Sí
6248-TKCQV,Dos años,Sí,Transferencia bancaria (automática),80.6,5460.2,No
6729-GDNGC,Mes a mes,No,Transferencia bancaria (automática),80.7,1614.2,No
6198-ZFIOJ,Mes a mes,No,Cheque electrónico,75.6,402.5,No
5989-OMNJE,Un año,No,Cheque electrónico,57.6,1367.75,No
2672-TGEFF,Mes a mes,Sí,Cheque electrónico,88.8,3340.55,No
4566-QVRRW,Mes a mes,Sí,Cheque electrónico,44.05,483.7,Sí
1291-CUOCY,Dos años,Sí,Tarjeta de crédito (automática),110.6,7962.2,No
9795-SHUHB,Dos años,Sí,Tarjeta de crédito (automática),58.2,3810.8,No
3230-IUALN,Dos años,Sí,Cheque por correo,81.0,3533.6,No
0042-RLHYP,Dos años,No,Transferencia bancaria (automática),19.7,1396.9,No
8519-IMDHU,Mes a mes,Sí,Transferencia bancaria (automática),85.6,1345.55,Sí
4945-RVMTE,Mes a mes,Sí,Transferencia bancaria (automática),59.55,1646.45,No
4576-CSAJH,Un año,Sí,Tarjeta de crédito (automática),55.15,1193.05,Sí
0201-OAMXR,Un año,No,Tarjeta de crédito (automática),115.55,8127.6,Sí
1866-NXPSP,Un año,Sí,Cheque por correo,75.55,2680.15,No
3372-KWFBM,Mes a mes,Sí,Cheque electrónico,86.6,1281.0,Sí
7831-QGOXH,Mes a mes,Sí,Cheque electrónico,85.2,1553.9,Sí
6393-WRYZE,Mes a mes,Sí,Cheque electrónico,97.65,3207.55,Sí
3941-XTSKM,Un año,Sí,Tarjeta de crédito (automática),45.1,2049.05,No
1661-CZBAU,Un año,Sí,Transferencia bancaria (automática),70.95,3629.2,No
6599-RCLCJ,Mes a mes,Sí,Cheque electrónico,109.55,5124.55,Sí
2018-PZKMU,Mes a mes,No,Cheque electrónico,103.1,970.45,No
9831-BPFRI,Un año,Sí,Cheque electrónico,89.55,3474.45,Sí
5158-RIVOP,Dos años,No,Tarjeta de crédito (automática),20.9,202.3,No
9788-YTFGE,Mes a mes,Sí,Cheque por correo,19.95,147.5,No
9277-JOOMO,Mes a mes,No,Cheque por correo,24.6,86.35,No
1907-YLNYW,Mes a mes,Sí,Cheque electrónico,66.7,579.0,No
1725-MIMXW,Mes a mes,Sí,Cheque por correo,19.45,19.45,Sí
8947-YRTDV,Un año,No,Cheque por correo,94.8,3131.55,No
3161-ONRWK,Un año,Sí,Transferencia bancaria (automática),65.85,3928.3,No
0114-RSRRW,Mes a mes,Sí,Transferencia bancaria (automática),19.95,187.75,No
4565-NLZBV,Dos años,Sí,Transferencia bancaria (automática),24.65,1710.15,No
0031-PVLZI,Mes a mes,No,Cheque por correo,20.35,76.35,Sí
7206-GZCDC,Mes a mes,Sí,Cheque electrónico,69.25,69.25,Sí
6682-VCIXC,Un año,Sí,Transferencia bancaria (automática),51.25,2151.6,No
4791-QRGMF,Un año,Sí,Transferencia bancaria (automática),99.5,5961.1,Sí
6475-VHUIZ,Mes a mes,No,Cheque electrónico,54.25,1221.55,No
3910-MRQOY,Dos años,No,Transferencia bancaria (automática),19.4,1496.45,No
0661-WCQNQ,Un año,Sí,Tarjeta de crédito (automática),56.25,1292.2,No
7537-RBWEA,Mes a mes,Sí,Cheque por correo,25.15,25.15,No
4656-CAURT,Dos años,No,Transferencia bancaria (automática),23.95,1713.1,No
0121-SNYRK,Un año,Sí,Cheque por correo,35.4,1748.9,No
1768-ZAIFU,Mes a mes,Sí,Cheque electrónico,25.2,25.2,Sí
4671-LXRDQ,Mes a mes,Sí,Cheque por correo,45.0,96.45,Sí
3733-LSYCE,Mes a mes,No,Transferencia bancaria (automática),75.35,1114.55,No
6265-FRMTQ,Dos años,No,Transferencia bancaria (automática),20.4,609.1,No
1934-SJVJK,Mes a mes,No,Cheque por correo,20.15,20.15,Sí
3838-OZURD,Mes a mes,Sí,Tarjeta de crédito (automática),105.0,7133.25,Sí
1371-DWPAZ,Dos años,No,Tarjeta de crédito (automática),56.05,,No
9269-CQOOL,Mes a mes,Sí,Tarjeta de crédito (automática),54.7,169.45,Sí
2017-CCBLH,Dos años,No,Cheque por correo,20.0,141.6,No
7690-KPNCU,Un año,Sí,Tarjeta de crédito (automática),73.05,4688.65,No
0536-BGFMZ,Mes a mes,No,Cheque por correo,20.5,563.05,No
2293-IJWPS,Un año,Sí,Tarjeta de crédito (automática),100.75,5985.0,No
2845-HSJCY,Mes a mes,Sí,Cheque electrónico,87.25,1258.6,Sí
5469-NUJUR,Dos años,Sí,Cheque por correo,19.95,373.5,No
1184-PJVDB,Mes a mes,Sí,Cheque electrónico,79.95,857.2,Sí
2625-TRCZQ,Mes a mes,Sí,Cheque electrónico,49.65,2553.35,No
4102-HLENU,Dos años,No,Cheque por correo,65.65,4322.85,No
7266-GSSJX,Mes a mes,Sí,Cheque electrónico,20.45,250.8,No
7722-VJRQD,Dos años,No,Transferencia bancaria (automática),60.95,4549.05,No
7073-QETQY,Un año,Sí,Cheque electrónico,20.35,1359.5,No
9415-DPEWS,Mes a mes,Sí,Cheque electrónico,88.35,1639.3,Sí
5624-RYAMH,Mes a mes,Sí,Cheque electrónico,19.5,178.85,No
6572-ADKRS,Mes a mes,Sí,Tarjeta de crédito (automática),74.8,3548.3,No
0196-JTUQI,Mes a mes,Sí,Tarjeta de crédito (automática),75.2,633.85,No
7130-YXBRO,Mes a mes,Sí,Transferencia bancaria (automática),111.45,5315.1,No
9272-LSVYH,Mes a mes,No,Cheque por correo,70.15,735.5,No
7943-RQCHR,Mes a mes,Sí,Cheque electrónico,94.75,889.9,Sí
3793-MMFUH,Mes a mes,Sí,Cheque electrónico,95.05,1290.0,Sí
3249-ZPQRG,Mes a mes,No,Cheque electrónico,78.45,330.05,Sí
2568-BRGYX,Mes a mes,Sí,Cheque electrónico,70.2,237.95,Sí
3084-DOWLE,Dos años,No,Transferencia bancaria (automática),92.0,6474.4,No
1084-MNSMJ,Dos años,No,Tarjeta de crédito (automática),85.5,4421.95,No
7721-JXEAW,Mes a mes,Sí,Transferencia bancaria (automática),41.05,2452.7,Sí
7249-WBIYX,Mes a mes,Sí,Cheque electrónico,85.6,813.85,Sí
4238-HFHSN,Mes a mes,Sí,Cheque electrónico,82.15,4904.85,No
6250-CGGUN,Un año,No,Cheque electrónico,84.4,4484.05,No
5478-JJVZK,Mes a mes,Sí,Cheque por correo,60.9,2033.85,No
7596-IIWYC,Dos años,Sí,Transferencia bancaria (automática),20.25,538.2,No
6567-HOOPW,Mes a mes,Sí,Cheque electrónico,79.2,79.2,Sí
9793-WECQC,Mes a mes,No,Cheque por correo,95.3,2192.9,No
4291-HPAXL,Mes a mes,No,Cheque por correo,19.85,19.85,No
8999-YPYBV,Dos años,Sí,Cheque por correo,84.35,3858.05,No
1839-FBNFR,Dos años,Sí,Transferencia bancaria (automática),19.85,854.8,No
3164-AALRN,Un año,Sí,Cheque por correo,70.0,347.4,Sí
3071-MVJCD,Dos años,No,Transferencia bancaria (automática),82.3,5815.15,No
1697-BCSHV,Mes a mes,Sí,Transferencia bancaria (automática),66.8,3970.4,No
0562-KBDVM,Dos años,Sí,Transferencia bancaria (automática),44.6,3058.15,No
1131-SUEKT,Un año,Sí,Transferencia bancaria (automática),98.45,6145.2,No
3717-OEAUQ,Mes a mes,No,Cheque por correo,70.7,129.2,No
4538-WNTMJ,Un año,No,Cheque por correo,24.95,1165.9,No
3334-CTHOL,Mes a mes,Sí,Transferencia bancaria (automática),49.95,49.95,Sí
4704-ERYFC,Mes a mes,Sí,Cheque electrónico,69.25,1554.0,Sí
9432-RUVSL,Dos años,Sí,Tarjeta de crédito (automática),102.5,4904.25,No
8060-HIWJJ,Dos años,No,Tarjeta de crédito (automática),86.55,5632.55,No
7684-XSZIY,Dos años,No,Transferencia bancaria (automática),24.3,1643.25,No
9089-UOWJG,Mes a mes,Sí,Tarjeta de crédito (automática),58.35,740.55,No
8621-MNIHH,Mes a mes,Sí,Cheque electrónico,94.25,3217.55,Sí
8039-ACLPL,Dos años,No,Tarjeta de crédito (automática),68.75,4888.2,No
9885-AIBVB,Mes a mes,Sí,Cheque electrónico,85.8,2440.25,No
1934-MKPXS,Un año,No,Tarjeta de crédito (automática),20.1,620.55,No
2592-YKDIF,Mes a mes,No,Cheque por correo,20.35,20.35,No
2272-JKMSI,Un año,Sí,Cheque electrónico,110.8,6840.95,No
0471-LVHGK,Un año,Sí,Cheque electrónico,73.0,3001.2,Sí
9518-RWHZL,Un año,Sí,Tarjeta de crédito (automática),100.05,6254.2,Sí
8714-CTZJW,Mes a mes,Sí,Tarjeta de crédito (automática),82.85,319.6,No
3569-EDBPQ,Mes a mes,Sí,Cheque electrónico,84.35,1938.05,No
3131-NWVFJ,Un año,No,Cheque por correo,19.55,294.5,No
7521-YXVZY,Mes a mes,No,Cheque por correo,19.95,58.3,No
5419-CONWX,Mes a mes,Sí,Tarjeta de crédito (automática),99.8,442.85,Sí
6240-EURKS,Mes a mes,Sí,Cheque electrónico,35.0,553.0,Sí
2373-NTKOD,Mes a mes,Sí,Cheque electrónico,66.25,546.45,No
1970-KKFWL,Dos años,No,Transferencia bancaria (automática),23.3,797.1,No
6960-HVYXR,Mes a mes,No,Cheque electrónico,76.0,76.0,Sí
9337-SRRNI,Dos años,Sí,Tarjeta de crédito (automática),25.3,1673.8,No
0895-UADGO,Dos años,Sí,Cheque por correo,44.55,343.45,No
5678-VFNEQ,Un año,Sí,Tarjeta de crédito (automática),104.1,7412.25,No
5977-CKHON,Mes a mes,Sí,Transferencia bancaria (automática),92.55,4039.0,No
5325-UWTWJ,Mes a mes,Sí,Tarjeta de crédito (automática),90.55,2929.75,No
7024-OHCCK,Mes a mes,Sí,Cheque electrónico,93.85,170.85,Sí
2692-BUCFV,Mes a mes,Sí,Transferencia bancaria (automática),101.45,2948.6,No
7861-UVUFT,Mes a mes,Sí,Cheque electrónico,84.3,1308.4,Sí
1830-GGFNM,Dos años,No,Tarjeta de crédito (automática),94.55,6078.75,No
5302-BDJNT,Mes a mes,No,Cheque electrónico,95.5,3418.2,No
5223-UZAVK,Un año,Sí,Tarjeta de crédito (automática),100.3,6603.8,No
4859-ZSRDZ,Dos años,Sí,Tarjeta de crédito (automática),55.5,3166.9,No
5651-WYIPH,Mes a mes,Sí,Tarjeta de crédito (automática),49.85,865.75,No
9350-VLHMB,Mes a mes,Sí,Transferencia bancaria (automática),89.55,6373.1,No
3498-LZGQZ,Dos años,Sí,Cheque por correo,19.15,1177.05,No
