ID_cliente,Servicio_telefonico,Lineas_multiples,Servicio_internet,Seguridad_en_linea,Copia_seguridad,Proteccion_dispositivo,Soporte_tecnico,Streaming_TV,Streaming_peliculas
2800-VEQXM,Sí,No,Fibra óptica,No,No,Sí,No,No,No
7538-GWHML,Sí,No,Fibra óptica,No,No,No,No,No,No
5533-RJFTJ,No,Sin servicio telefónico,DSL,No,No,Sí,No,No,No
3859-CVCET,Sí,No,DSL,No,No,No,No,No,No
0214-JHPFW,No,Sin servicio telefónico,DSL,No,Sí,Sí,Sí,Sí,Sí
5642-MHDQT,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
3088-FVYWK,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
3276-HDUEG,Sí,Sí,Fibra óptica,No,No,No,No,No,No
9092-GDZKO,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
0823-HSCDJ,No,Sin servicio telefónico,DSL,No,Sí,No,No,Sí,Sí
3729-OWRVL,Sí,Sí,Fibra óptica,Sí,No,Sí,Sí,Sí,Sí
2324-AALNO,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
0822-GAVAP,No,Sin servicio telefónico,DSL,No,No,No,No,No,Sí
5760-IFJOZ,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,Sí
2826-UWHIS,Sí,Sí,Fibra óptica,No,Sí,No,No,No,No
1448-PWKYE,Sí,No,Fibra óptica,No,No,No,No,No,Sí
7501-IWUNG,Sí,No,DSL,No,No,Sí,Sí,Sí,Sí
4957-TREIR,Sí,No,DSL,Sí,No,No,Sí,Sí,No
7251-LJBQN,Sí,Sí,Fibra óptica,No,No,Sí,Sí,Sí,Sí
8040-MNRTF,Sí,No,Fibra óptica,No,No,No,No,No,No
1536-HBSWP,Sí,No,DSL,No,No,No,Sí,No,No
5313-FPXWG,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
0067-DKWBL,Sí,No,DSL,Sí,No,No,No,No,No
0946-FKYTX,No,Sin servicio telefónico,DSL,No,Sí,No,No,No,No
5076-YVXCM,Sí,Sí,Fibra óptica,No,No,No,No,No,Sí
8262-COGGB,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
6663-JOCQO,Sí,Sí,DSL,Sí,Sí,No,Sí,No,Sí
9620-QJREV,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
2276-YDAVZ,Sí,Sí,Fibra óptica,No,No,No,No,No,No
2682-KEVRP,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
2480-JZOSN,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
0078-XZMHT,Sí,Sí,DSL,No,Sí,Sí,Sí,Sí,Sí
5896-NPFWW,Sí,No,DSL,No,No,Sí,No,No,No
9978-HYCIN,Sí,No,Fibra óptica,No,Sí,No,No,Sí,No
8338-QIUNR,Sí,Sí,DSL,Sí,No,Sí,Sí,No,No
1525-LNLOJ,Sí,Sí,DSL,No,No,Sí,No,Sí,No
9450-TRJUU,Sí,Sí,Fibra óptica,No,No,No,No,Sí,No
1766-GKNMI,Sí,Sí,Fibra óptica,No,No,No,No,No,Sí
6942-LBFDP,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
1456-TWCGB,Sí,No,DSL,No,Sí,No,No,No,No
7133-VBDCG,Sí,No,Fibra óptica,Sí,Sí,No,No,No,No
7596-ZYWBB,Sí,No,DSL,Sí,Sí,No,Sí,No,No
8329-UTMVM,Sí,Sí,Fibra óptica,No,Sí,No,Sí,Sí,Sí
3014-WJKSM,Sí,No,Fibra óptica,No,No,Sí,No,No,No
3347-YJZZE,Sí,Sí,DSL,No,Sí,Sí,No,Sí,Sí
1029-QFBEN,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
7929-DMBCV,Sí,No,Fibra óptica,No,No,Sí,Sí,No,No
9661-JALZV,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
5433-KYGHE,Sí,Sí,Fibra óptica,Sí,No,No,Sí,No,No
4312-KFRXN,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
5575-TPIZQ,Sí,Sí,Fibra óptica,Sí,No,No,No,Sí,No
0114-IGABW,No,Sin servicio telefónico,DSL,No,Sí,Sí,Sí,Sí,Sí
9944-AEXBM,Sí,Sí,Fibra óptica,No,No,No,No,No,Sí
1853-ARAAQ,No,Sin servicio telefónico,DSL,No,No,Sí,No,Sí,Sí
6952-OMNWB,Sí,Sí,Fibra óptica,No,No,Sí,No,No,No
4697-LUPSU,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
8434-VGEQQ,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
4952-YSOGZ,Sí,Sí,Fibra óptica,No,No,No,No,No,Sí
1589-AGTLK,Sí,No,DSL,No,No,No,No,No,No
5244-IRFIH,Sí,Sí,Fibra óptica,No,No,No,No,Sí,Sí
6549-YMFAW,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
4950-HKQTE,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
6786-OBWQR,Sí,No,Fibra óptica,No,No,No,No,Sí,No
2684-EIWEO,Sí,Sí,Fibra óptica,Sí,Sí,Sí,No,No,No
2753-JMMCV,Sí,Sí,DSL,No,Sí,Sí,Sí,No,Sí
6439-GTPCA,Sí,Sí,Fibra óptica,No,No,Sí,Sí,No,No
6621-YOBKI,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
1216-JWVUX,Sí,No,Fibra óptica,No,Sí,No,No,No,No
7564-GHCVB,Sí,Sí,Fibra óptica,Sí,No,No,No,No,No
1173-NOEYG,Sí,Sí,Fibra óptica,No,No,Sí,No,No,Sí
7595-EHCDL,No,Sin servicio telefónico,DSL,No,No,Sí,No,Sí,Sí
6647-ZEDXT,Sí,Sí,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí
2521-NPUZR,Sí,No,Fibra óptica,Sí,Sí,Sí,Sí,No,Sí
1307-TVUFB,Sí,Sí,Fibra óptica,No,Sí,No,No,No,No
7503-MIOGA,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí
4381-MHQDC,Sí,Sí,DSL,Sí,No,Sí,Sí,No,No
6923-JHPMP,Sí,No,Fibra óptica,Sí,No,Sí,No,No,No
5138-WVKYJ,Sí,Sí,Fibra óptica,Sí,No,No,No,Sí,Sí
4018-PPNDW,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
1635-FJFCC,Sí,No,DSL,No,No,No,No,No,No
2499-AJYUA,Sí,Sí,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí
6919-ELBGL,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí
3966-HRMZA,Sí,No,Fibra óptica,No,No,Sí,No,No,No
6425-JWTDV,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
8405-IGQFX,Sí,No,Fibra óptica,No,No,Sí,Sí,Sí,No
8224-IVVPA,Sí,No,DSL,Sí,Sí,No,No,No,No
9477-LGWQI,Sí,No,DSL,Sí,Sí,Sí,No,Sí,Sí
1410-RSCMR,Sí,No,DSL,Sí,No,Sí,Sí,No,Sí
3115-CZMZD,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
0139-IVFJG,Sí,No,Fibra óptica,Sí,Sí,No,No,Sí,No
6683-VLCTZ,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,Sí
5730-DBDSI,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
0030-FNXPP,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
2189-WWOEW,Sí,No,Fibra óptica,No,Sí,No,No,No,Sí
5684-FJVYR,Sí,Sí,Fibra óptica,Sí,Sí,No,Sí,No,No
9102-IAYHT,Sí,Sí,Fibra óptica,No,No,No,No,No,Sí
4013-GUXND,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
1894-IGFSG,Sí,No,Fibra óptica,No,No,No,No,Sí,Sí
7379-POKDZ,Sí,No,Fibra óptica,No,No,No,No,No,No
1266-NZYUI,Sí,Sí,DSL,Sí,No,Sí,Sí,No,No
7969-FFOWG,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
9481-WHGWY,Sí,No,DSL,Sí,No,No,Sí,Sí,Sí
4718-DHSMV,No,Sin servicio telefónico,DSL,No,No,No,No,Sí,No
5175-WLYXL,Sí,Sí,Fibra óptica,No,Sí,No,No,No,No
7817-OMJNA,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
8728-SKJLR,Sí,No,Fibra óptica,No,No,No,Sí,No,No
3137-NYQQI,Sí,No,DSL,Sí,Sí,No,No,No,Sí
7706-DZNKK,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
0236-HFWSV,Sí,Sí,Fibra óptica,No,No,No,No,Sí,Sí
3900-AQPHZ,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
5842-POCOP,Sí,No,Fibra óptica,Sí,No,Sí,No,No,Sí
2037-XJFUP,Sí,No,Fibra óptica,No,No,Sí,No,Sí,Sí
8823-RLPWL,Sí,Sí,Fibra óptica,Sí,Sí,Sí,No,Sí,Sí
9505-SQFSW,No,Sin servicio telefónico,DSL,No,Sí,No,No,No,Sí
7314-OXENN,Sí,Sí,Fibra óptica,No,Sí,No,No,No,No
3758-CKOQL,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,No,Sí
0322-CHQRU,Sí,No,DSL,No,No,No,No,No,No
5676-CFLYY,Sí,No,DSL,No,Sí,No,Sí,Sí,Sí
7521-AFHAB,Sí,No,DSL,No,No,No,No,No,No
0285-INHLN,Sí,No,DSL,Sí,Sí,No,No,No,No
4678-DVQEO,Sí,No,DSL,No,No,No,Sí,No,No
5125-CNDSP,No,Sin servicio telefónico,DSL,Sí,Sí,No,Sí,No,No
0691-IFBQW,Sí,Sí,Fibra óptica,Sí,Sí,Sí,No,Sí,Sí
4992-LTJNE,Sí,Sí,DSL,Sí,No,No,No,No,No
2202-OUTMO,Sí,Sí,DSL,Sí,No,No,Sí,No,No
0810-BDHAW,Sí,Sí,DSL,Sí,Sí,No,No,Sí,Sí
0229-LFJAF,Sí,Sí,DSL,Sí,Sí,Sí,Sí,No,No
7131-ZQZNK,No,Sin servicio telefónico,DSL,Sí,No,Sí,Sí,Sí,Sí
3442-ZHHCC,Sí,Sí,DSL,Sí,Sí,Sí,No,No,Sí
5726-CVNYA,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
9871-ELEYA,Sí,No,DSL,Sí,No,Sí,Sí,Sí,No
4257-GAESD,No,Sin servicio telefónico,DSL,No,No,No,No,Sí,Sí
5173-WXOQV,Sí,No,DSL,No,Sí,No,Sí,No,Sí
2040-OBMLJ,Sí,Sí,Fibra óptica,No,No,No,Sí,No,No
6286-ZHAOK,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
3807-XHCJH,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
3009-JWMPU,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,Sí
5671-RQRLP,Sí,Sí,Fibra óptica,No,No,No,No,No,No
1450-GALXR,Sí,Sí,Fibra óptica,No,No,No,Sí,Sí,Sí
8859-AXJZP,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
3174-AKMAS,Sí,No,DSL,No,Sí,No,Sí,Sí,No
3138-BKYAV,Sí,No,Fibra óptica,No,Sí,No,No,Sí,No
9926-PJHDQ,Sí,Sí,DSL,No,No,Sí,No,Sí,Sí
7382-DFJTU,Sí,No,DSL,No,No,Sí,Sí,No,No
2798-NYLMZ,Sí,Sí,Fibra óptica,Sí,No,Sí,Sí,Sí,Sí
4289-DTDKW,Sí,Sí,Fibra óptica,No,Sí,No,No,Sí,Sí
1820-TQVEV,Sí,No,Fibra óptica,No,No,No,No,No,No
2239-JALAW,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,Sí
4853-RULSV,Sí,Sí,Fibra óptica,Sí,No,No,Sí,Sí,Sí
8098-TDCBU,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
3551-GAEGL,No,Sin servicio telefónico,DSL,Sí,No,No,No,No,No
4785-NKHCX,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
3196-NVXLZ,Sí,Sí,Fibra óptica,No,No,No,No,Sí,No
6275-YDUVO,Sí,No,Fibra óptica,No,No,Sí,No,No,Sí
0036-IHMOT,Sí,No,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí
0115-TFERT,Sí,Sí,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí
4178-EGMON,Sí,Sí,Fibra óptica,Sí,Sí,No,Sí,No,No
4220-TINQT,Sí,Sí,Fibra óptica,No,No,Sí,Sí,Sí,Sí
5318-YKDPV,Sí,No,DSL,Sí,No,Sí,Sí,Sí,Sí
7975-TZMLR,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,Sí
0295-QVKPB,Sí,No,DSL,No,No,Sí,Sí,Sí,No
4335-BSMJS,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
2311-QYMUQ,Sí,No,Fibra óptica,No,Sí,Sí,No,Sí,No
3643-AHCFP,Sí,Sí,Fibra óptica,No,No,No,No,Sí,Sí
9146-JRIOX,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
3104-OWCGK,Sí,No,Fibra óptica,No,Sí,Sí,No,Sí,No
5337-IIWKZ,No,Sin servicio telefónico,DSL,No,No,Sí,Sí,Sí,No
9101-BWFSS,Sí,Sí,Fibra óptica,Sí,Sí,No,Sí,Sí,Sí
9650-VBUOG,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
3487-EARAT,Sí,No,DSL,Sí,Sí,Sí,Sí,No,Sí
2672-TGEFF,Sí,Sí,Fibra óptica,No,Sí,No,No,Sí,No
9231-ZJYAM,Sí,No,Fibra óptica,No,No,No,No,Sí,No
4250-WAROZ,Sí,Sí,Fibra óptica,Sí,Sí,No,No,No,Sí
8184-WMOFI,Sí,No,DSL,Sí,No,Sí,Sí,No,Sí
6982-SSHFK,Sí,No,DSL,No,No,No,No,No,No
6092-QZVPP,Sí,No,DSL,Sí,No,Sí,Sí,Sí,Sí
4625-LAMOB,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
0727-BMPLR,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,Sí
0392-BZIUW,Sí,Sí,Fibra óptica,Sí,No,Sí,No,Sí,Sí
1038-ZAGBI,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
6549-NNDYT,No,Sin servicio telefónico,DSL,Sí,No,No,No,No,No
3027-ZTDHO,Sí,No,Fibra óptica,No,No,No,No,Sí,Sí
0422-OHQHQ,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
6916-HIJSE,Sí,No,DSL,Sí,Sí,Sí,Sí,Sí,Sí
2316-ESMLS,No,Sin servicio telefónico,DSL,Sí,No,No,Sí,No,No
9778-OGKQZ,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí
7408-OFWXJ,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí
6007-TCTST,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí
2252-NKNSI,Sí,Sí,DSL,Sí,Sí,No,Sí,Sí,Sí
8713-IGZSO,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
7905-TVXTA,Sí,No,DSL,Sí,No,No,Sí,Sí,No
7695-PKLCZ,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
2382-BCKQJ,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,Sí
8374-UULRV,Sí,Sí,DSL,Sí,Sí,No,Sí,Sí,Sí
2207-NHRJK,Sí,No,DSL,No,Sí,No,No,No,No
3224-DFQNQ,Sí,Sí,Fibra óptica,Sí,Sí,No,Sí,No,No
5275-PMFUT,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,Sí,Sí,Sí
4795-UXVCJ,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
9777-IQHWP,Sí,Sí,Fibra óptica,Sí,No,Sí,No,No,Sí
0947-MUGVO,Sí,No,Fibra óptica,No,Sí,No,No,No,No
9944-HKVVB,Sí,No,Fibra óptica,No,Sí,No,No,Sí,Sí
4124-MMETB,Sí,Sí,Fibra óptica,No,No,No,No,Sí,Sí
3671-SHRSP,Sí,No,Fibra óptica,No,No,Sí,Sí,No,No
0979-MOZQI,No,Sin servicio telefónico,DSL,No,No,No,Sí,Sí,No
2732-ISEZX,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
3313-QKNKB,Sí,Sí,Fibra óptica,No,No,No,No,No,Sí
0323-XWWTN,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
1937-OTUKY,Sí,Sí,Fibra óptica,Sí,No,Sí,Sí,Sí,No
1573-LGXBA,Sí,No,Fibra óptica,No,Sí,Sí,No,Sí,Sí
1764-VUUMT,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
5073-WXOYN,No,Sin servicio telefónico,DSL,No,Sí,No,No,Sí,Sí
4713-ZBURT,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,Sí
3050-GBUSH,No,Sin servicio telefónico,DSL,No,No,No,No,Sí,No
0207-MDKNV,Sí,No,Fibra óptica,Sí,No,Sí,Sí,Sí,Sí
7876-AEHIG,No,Sin servicio telefónico,DSL,Sí,No,Sí,Sí,Sí,Sí
7945-HLKEA,Sí,Sí,DSL,Sí,No,Sí,Sí,No,No
9342-VNIMQ,Sí,Sí,DSL,No,Sí,No,No,No,No
9851-KIELU,Sí,No,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí
3523-BRGUW,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
3908-BLSYF,Sí,No,Fibra óptica,No,No,Sí,No,No,Sí
3199-NPKCN,Sí,Sí,Fibra óptica,Sí,No,Sí,Sí,Sí,Sí
5170-PTRKA,No,Sin servicio telefónico,DSL,Sí,No,No,Sí,No,No
1624-WOIWJ,Sí,No,Fibra óptica,Sí,No,No,No,Sí,No
4661-NJEUX,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
2123-AGEEN,Sí,No,Fibra óptica,No,No,Sí,No,Sí,No
1258-YMZNM,Sí,Sí,Fibra óptica,Sí,Sí,Sí,No,Sí,Sí
0048-LUMLS,Sí,No,Fibra óptica,No,No,No,No,Sí,Sí
7549-MYGPK,Sí,Sí,Fibra óptica,Sí,Sí,Sí,No,Sí,No
5898-IGSLP,Sí,Sí,Fibra óptica,Sí,No,Sí,Sí,No,No
3804-RVTGV,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,Sí
6259-WJQLC,Sí,Sí,Fibra óptica,No,No,Sí,No,No,No
9227-LUNBG,No,Sin servicio telefónico,DSL,No,No,No,No,No,No
7997-EASSD,Sí,Sí,Fibra óptica,No,No,No,Sí,No,No
0730-KOAVE,Sí,Sí,Fibra óptica,Sí,Sí,No,No,No,Sí
8975-SKGRX,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí
0678-RLHVP,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,Sí
4315-MURBD,Sí,No,Fibra óptica,Sí,No,No,Sí,Sí,Sí
2267-FPIMA,Sí,Sí,Fibra óptica,Sí,Sí,No,No,No,Sí
1051-GEJLJ,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
9734-YWGEX,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,Sí
2719-BDAQO,Sí,No,Fibra óptica,Sí,No,No,No,Sí,Sí
5285-MVEHD,Sí,No,Fibra óptica,Sí,Sí,Sí,No,Sí,Sí
0379-DJQHR,Sí,No,DSL,Sí,Sí,Sí,No,Sí,Sí
0781-LKXBR,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,Sí
5543-QDCRY,Sí,No,DSL,No,No,No,No,Sí,No
0297-RBCSG,Sí,No,DSL,No,Sí,No,Sí,No,Sí
4694-PHWFW,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
0835-JKADZ,Sí,Sí,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí
1907-UBQFC,Sí,No,Fibra óptica,No,Sí,No,No,No,No
7508-SMHXL,Sí,Sí,Fibra óptica,No,Sí,No,No,Sí,No
3865-YIOTT,Sí,Sí,Fibra óptica,Sí,No,Sí,No,Sí,Sí
5993-BQHEA,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
6024-RUGGH,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
6513-EECDB,Sí,Sí,Fibra óptica,No,No,No,No,No,No
3956-CJUST,Sí,No,Fibra óptica,Sí,No,No,No,No,No
4079-WWQQQ,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,Sí,Sí,Sí
6103-BOCOU,Sí,Sí,Fibra óptica,No,No,Sí,No,No,No
5149-TGWDZ,Sí,No,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí
7471-WNSUF,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
8942-DBMHZ,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
4301-VVZKA,Sí,Sí,Fibra óptica,No,No,No,No,No,No
9199-PWQVC,Sí,Sí,DSL,Sí,Sí,No,No,Sí,Sí
4824-GUCBY,Sí,No,Fibra óptica,Sí,Sí,No,No,No,No
5393-HJZSM,Sí,No,DSL,Sí,Sí,Sí,Sí,No,Sí
7074-IEVOJ,Sí,Sí,Fibra óptica,No,Sí,No,No,No,No
9625-QSTYE,Sí,No,Fibra óptica,No,Sí,Sí,No,No,No
0862-PRCBS,Sí,Sí,Fibra óptica,No,Sí,No,Sí,Sí,Sí
8812-ZRHFP,Sí,No,Fibra óptica,No,No,Sí,No,No,Sí
5146-CBVOE,Sí,No,Fibra óptica,No,Sí,No,No,No,No
0454-OKRCT,Sí,No,Fibra óptica,No,Sí,No,Sí,No,No
5787-KXGIY,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
4750-ZRXIU,Sí,Sí,Fibra óptica,No,No,No,No,No,Sí
4198-VFOEA,No,Sin servicio telefónico,DSL,Sí,No,No,Sí,No,No
6630-UJZMY,Sí,Sí,Fibra óptica,No,No,No,No,Sí,No
5709-LVOEQ,Sí,No,DSL,Sí,Sí,Sí,No,Sí,Sí
6400-BWQKW,Sí,Sí,Fibra óptica,Sí,No,No,No,No,No
2692-AQCPF,Sí,Sí,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí
0347-UBKUZ,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
0835-DUUIQ,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
0811-GSDTP,No,Sin servicio telefónico,DSL,No,Sí,No,No,No,No
7567-ECMCM,Sí,No,Fibra óptica,No,No,No,No,No,Sí
6115-ZTBFQ,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,Sí,Sí,Sí
6353-BRMMA,Sí,Sí,Fibra óptica,Sí,Sí,No,No,Sí,Sí
6680-WKXRZ,Sí,Sí,Fibra óptica,No,No,No,No,No,No
6231-WFGFH,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
9904-EHEVJ,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,No
7028-DVOIQ,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,Sí
